Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,2,0,0
2/26/20,2,0,0
2/27/20,2,0,0
2/28/20,4,0,0
2/29/20,4,0,0
3/1/20,4,0,0
3/2/20,5,0,0
3/3/20,5,0,0
3/4/20,5,0,0
3/5/20,6,0,0
3/6/20,6,0,0
3/7/20,6,0,1
3/8/20,6,0,1
3/9/20,16,0,1
3/10/20,19,0,2
3/11/20,20,0,2
3/12/20,28,0,2
3/13/20,31,0,2
3/14/20,53,0,2
3/15/20,136,0,2
3/16/20,236,0,2
3/17/20,299,0,2
3/18/20,454,2,13
3/19/20,501,3,13
3/20/20,730,3,13
3/21/20,776,5,5
3/22/20,875,6,5
3/23/20,972,7,18
3/24/20,1063,8,21
3/25/20,1201,9,21
3/26/20,1373,11,23
3/27/20,1495,12,29
3/28/20,1597,14,29
3/29/20,1717,21,76
3/30/20,1938,26,76
3/31/20,2118,27,94
4/1/20,2421,34,125
4/2/20,2686,40,126
4/3/20,2818,41,131
4/4/20,3157,47,211
4/5/20,3766,53,259
4/6/20,4035,57,429
4/7/20,4263,61,467
4/8/20,4489,65,572
4/9/20,4695,66,727
4/10/20,5011,86,762
4/11/20,5230,91,1028
4/12/20,5496,93,1095
4/13/20,5837,96,1378
4/14/20,6383,111,1446
4/15/20,6919,128,1645
4/16/20,7025,135,1765
4/17/20,7638,143,1832
4/18/20,8348,168,1868
4/19/20,8418,176,1970
4/20/20,9565,201,2073
4/21/20,10076,212,2156
4/22/20,11155,237,2527
4/23/20,11940,253,2755
4/24/20,12723,269,2866
4/25/20,13328,281,2936
4/26/20,13915,292,3029
4/27/20,14612,312,3233
4/28/20,15525,343,3425
4/29/20,16817,385,4315
4/30/20,18114,417,4715
5/1/20,19103,440,4817
5/2/20,20084,457,5114
5/3/20,20941,476,5635
5/4/20,22049,514,5801
5/5/20,24073,564,6464
5/6/20,24644,585,6464
5/7/20,26435,599,7530
5/8/20,28736,636,7809
5/9/20,30334,659,8063
5/10/20,32081,706,8555
5/11/20,34336,737,8812
5/12/20,35298,761,8899
5/13/20,35788,770,9695
5/14/20,38799,834,10880
5/15/20,38799,834,10880
5/16/20,40151,873,11341
5/17/20,42125,903,11922
5/18/20,43966,939,12489
5/19/20,45898,985,13101
5/20/20,48091,1017,14155
5/21/20,50694,1067,15201
5/22/20,52437,1101,16653
5/23/20,54601,1133,17198
5/24/20,56349,1167,17482
5/25/20,57705,1197,18314
5/26/20,59151,1225,19142
5/27/20,61227,1260,20231
5/28/20,64028,1317,22305
5/29/20,66457,1395,24131
5/30/20,69496,1483,25271
5/31/20,72460,1543,26083
6/1/20,76398,1621,27110
6/2/20,80463,1688,28923
6/3/20,85264,1770,30128
6/4/20,89249,1838,31198
6/5/20,93983,1935,32581
6/6/20,98943,2002,33465
6/7/20,103671,2067,34355
6/8/20,108317,2172,35018
6/9/20,113702,2255,36308
6/10/20,119536,2356,36308
6/11/20,125933,2463,40247
6/12/20,125933,2463,40247
6/13/20,132405,2551,50056
6/14/20,144478,2729,53721
6/15/20,148921,2839,56390
6/16/20,154760,2975,58437
6/17/20,160118,3093,59215
