Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,2,0,0
3/20/20,2,0,0
3/21/20,4,0,0
3/22/20,4,0,0
3/23/20,8,0,0
3/24/20,10,0,0
3/25/20,14,0,0
3/26/20,14,0,0
3/27/20,15,0,0
3/28/20,15,0,0
3/29/20,15,0,0
3/30/20,15,0,0
3/31/20,16,0,0
4/1/20,16,0,0
4/2/20,18,0,1
4/3/20,18,0,1
4/4/20,17,0,1
4/5/20,18,0,1
4/6/20,18,0,1
4/7/20,18,0,1
4/8/20,18,0,1
4/9/20,18,0,1
4/10/20,18,0,1
4/11/20,18,0,1
4/12/20,18,0,1
4/13/20,18,0,1
4/14/20,18,0,1
4/15/20,18,0,1
4/16/20,18,0,1
4/17/20,18,0,14
4/18/20,18,0,14
4/19/20,18,0,15
4/20/20,18,0,15
4/21/20,18,0,17
4/22/20,18,0,17
4/23/20,18,0,17
4/24/20,18,0,17
4/25/20,18,0,17
4/26/20,18,0,17
4/27/20,18,0,17
4/28/20,18,0,17
4/29/20,18,0,17
4/30/20,18,0,17
5/1/20,18,0,17
5/2/20,18,0,17
5/3/20,18,0,17
5/4/20,18,0,17
5/5/20,18,0,17
5/6/20,18,0,18
5/7/20,18,0,18
5/8/20,18,0,18
5/9/20,18,0,18
5/10/20,18,0,18
5/11/20,18,0,18
5/12/20,18,0,18
5/13/20,18,0,18
5/14/20,18,0,18
5/15/20,18,0,18
5/16/20,18,0,18
5/17/20,18,0,18
5/18/20,18,0,18
5/19/20,18,0,18
5/20/20,18,0,18
5/21/20,18,0,18
5/22/20,18,0,18
5/23/20,18,0,18
5/24/20,18,0,18
5/25/20,18,0,18
5/26/20,18,0,18
5/27/20,18,0,18
5/28/20,19,0,18
5/29/20,19,0,18
5/30/20,19,0,18
5/31/20,19,0,18
6/1/20,20,0,18
6/2/20,20,0,18
6/3/20,20,0,18
6/4/20,20,0,18
6/5/20,20,0,18
6/6/20,20,0,18
6/7/20,20,0,19
6/8/20,20,0,20
6/9/20,21,0,20
6/10/20,21,0,20
6/11/20,21,0,20
6/12/20,21,0,20
6/13/20,21,0,20
6/14/20,21,0,20
6/15/20,21,0,21
6/16/20,21,0,21
6/17/20,21,0,21
